Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS4245-S01,,6/6/2008,0 to 4,5.81,5.57,439.00,0.20,75.70,0.2200,28.35,324.29,75.92,,,,0.0624,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67218259,-90.13506839
CRMS4245-S01,,6/6/2008,4 to 8,5.68,5.63,576.00,0.30,80.67,0.1900,37.01,324.29,59.28,,,,0.0703,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67218259,-90.13506839
CRMS4245-S01,,6/6/2008,8 to 12,5.88,5.77,519.00,0.25,86.25,0.1500,44.17,324.29,66.61,,,,0.0663,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67218259,-90.13506839
CRMS4245-S01,,6/6/2008,12 to 16,5.99,5.53,625.00,0.30,84.61,0.1500,46.36,324.29,70.58,,,,0.0695,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67218259,-90.13506839
CRMS4245-S01,,6/6/2008,16 to 20,5.90,5.44,861.00,0.40,78.66,0.2000,32.39,324.29,89.63,,,,0.0648,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67218259,-90.13506839
CRMS4245-S01,,6/6/2008,20 to 24,6.02,5.42,897.00,0.40,77.71,0.2200,36.60,324.29,82.53,,,,0.0805,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67218259,-90.13506839
CRMS4245-S02,,6/6/2008,0 to 4,5.87,5.70,488.00,0.20,89.19,0.0900,41.96,324.29,59.86,,,,0.0378,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67197274,-90.13537386
CRMS4245-S02,,6/6/2008,4 to 8,6.13,5.74,660.00,0.30,86.42,0.1000,39.79,324.29,35.03,,,,0.0398,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67197274,-90.13537386
CRMS4245-S02,,6/6/2008,8 to 12,6.11,5.67,821.00,0.40,78.00,0.1800,35.16,324.29,57.47,,,,0.0633,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67197274,-90.13537386
CRMS4245-S02,,6/6/2008,12 to 16,6.20,5.72,988.00,0.50,80.14,0.1600,27.13,324.29,60.01,,,,0.0434,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; B. Early,,29.67197274,-90.13537386
